reference,name,development-plan-event,event-date,notes,development-plan,entry-date,start-date,end-date,organisations
doncaster-local-plan-examination-start,,pins-examination-start,2020-10-14,,doncaster-local-plan,2023-04-01,,,local-authority-eng:DNC
doncaster-local-plan-examination-end,,pins-examination-end,2020-12-01,,doncaster-local-plan,2023-04-01,,,local-authority-eng:DNC
north-london-waste-plan-adopted,,mineral-and-waste-plan-adopted,2022-06-07,,north-london-waste-plan,2023-04-01,,,local-authority-eng:BNE;local-authority-eng:CMD;local-authority-eng:ENF;local-authority-eng:HRY;local-authority-eng:ISL;local-authority-eng:WFT
rochdale-local-plan-2006-adopted,,plan-adopted,2006-06-14,,rochdale-local-plan-2006,2023-04-02,,,local-authority-eng:RCH
adur-local-plan-2017-plan-adopted,,plan-adopted,2017-12-14,,adur-local-plan-2017,2023-04-26,,,local-authority-eng:ADU
adur-local-plan-2017-inspector-report-published,,inspector-report-published,2017-09-29,,adur-local-plan-2017,2023-04-26,,,government-organisation:EA39
adur-local-plan-2017-main-modification-consultation-start,,main-modification-consultation-start,2017-05-15,,adur-local-plan-2017,2023-04-26,,,local-authority-eng:ADU
adur-local-plan-2017-main-modification-consultation-end,,main-modification-consultation-end,2017-07-16,,adur-local-plan-2017,2023-04-26,,,local-authority-eng:ADU
shoreham-harbour-joint-area-action-plan-plan-adopted,,plan-adopted,2019-10-18,,shoreham-harbour-joint-area-action-plan,2023-04-26,,,local-authority-eng:WSX
shoreham-harbour-joint-area-action-plan-plan-adopted-2023-04-26-10:26:57,,plan-adopted,2019-10-25,,shoreham-harbour-joint-area-action-plan,2023-04-26,,,local-authority-eng:BNH
shoreham-harbour-joint-area-action-plan-plan-adopted-2023-04-26-10:27:12,,plan-adopted,2019-10-31,,shoreham-harbour-joint-area-action-plan,2023-04-26,,,local-authority-eng:ADU
arun-local-plan-2018-plan-adopted,,plan-adopted,2018-07-18,,arun-local-plan-2018,2023-04-26,,,local-authority-eng:ARU
