reference,name,description,document-type,documentation-url,document-url,notes,development-plan,entry-date,start-date,end-date,organisations
camden-financial-viability-study,Camden local plan financial viability study,,financial-viability-study,https://www.camden.gov.uk/web/guest/evidence-and-supporting-documents,https://www.camden.gov.uk/documents/20142/15759442/Camden+Local+Plan+Viability+Study+FINAL+REPORT+030216.pdf/c46c8c61-1851-d561-2c42-4bac02d89403,,camden-2017-local-plan,2023-04-25,,,local-authority-eng:CMD
camden-strategic-flood-risk,Camden strategic flood risk assessment,,strategic-flood-risk-assessment,https://www.camden.gov.uk/web/guest/evidence-and-supporting-documents,https://www.camden.gov.uk/documents/20142/15822724/LB+Camden+Strategic+Flood+Risk+Assessment+2014.pdf/25379616-c452-b39b-9839-9f0c374cfa83,,camden-2017-local-plan,2023-04-25,,,local-authority-eng:CMD
camden-habitats-directive,Camden habitats directive assessment,,habitats-directive-assessment,https://www.camden.gov.uk/web/guest/evidence-and-supporting-documents,https://www.camden.gov.uk/documents/20142/15767636/Habitats+Directive+Assessment.pdf/3e112103-15aa-3106-e3ce-47e9d510dcbf,,camden-2017-local-plan,2023-04-25,,,local-authority-eng:CMD
rochdale-2006-adoption-statement,Rochdale local plan 2006 adoption statement,,adoption-statement,https://www.rochdale.gov.uk/downloads/file/287/adoption-notice-for-statement-of-decisions,https://www.rochdale.gov.uk/downloads/download/195/statement-of-decisions-for-the-1996-2006-local-plan,,rochdale-local-plan-2006,2023-04-25,,,local-authority-eng:RCH
statement-of-adoption,Statement of adoption,,adoption-statement,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147019,smxx.pdf",,adur-local-plan-2017,2023-04-26,,,local-authority-eng:ADU
adur-local-plan-2017,Adur local plan 2017,,local-plan,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,159572,smxx.pdf",,adur-local-plan-2017,2023-04-26,,,local-authority-eng:ADU
adur-policies-map-2019,Adur policies map 2019,,policies-map,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,156286,smxx.pdf",,adur-local-plan-2017,2023-04-26,,,local-authority-eng:ADU
shoreham-harbour-joint-area-action-plan,Shoreham Harbour Joint Area Action Plan,,area-action-plan,https://www.adur-worthing.gov.uk/shoreham-harbour-regeneration/joint-area-action-plan/,"https://www.adur-worthing.gov.uk/media/Media,156282,smxx.pdf",,shoreham-harbour-joint-area-action-plan,2023-04-26,,,local-authority-eng:ADU;local-authority-eng:WSX;local-authority-eng:BNH
shoreham-harbour-jaap-notice-of-adoption,Shoreham Harbour JAAP Notice of Adoption,,adoption-statement,https://www.adur-worthing.gov.uk/shoreham-harbour-regeneration/joint-area-action-plan/,"https://www.adur-worthing.gov.uk/media/Media,156280,smxx.pdf",,shoreham-harbour-joint-area-action-plan,2023-04-26,,,local-authority-eng:ADU;local-authority-eng:WSX;local-authority-eng:BNH
the-city-centre-action-plan,The City Centre Action Plan,,local-plan,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,https://www.southampton.gov.uk/media/3bidvj1w/ccap-18-march-2015_tcm63-371356.pdf,,southampton_city_centre_action_plan,2023-04-26,,,local-authority-eng:STH
city-centre-policies-map,City centre policies map,,policies-map,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,https://www.southampton.gov.uk/media/iqaljdvp/ccap-policies-map-april-2015_tcm63-372117.pdf,,southampton_city_centre_action_plan,2023-04-26,,,local-authority-eng:STH
isles-of-scilly-local-plan-(2015-2030),Isles of Scilly Local Plan (2015-2030),,local-plan,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Website%20Version.pdf,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
adoption-statement,Adoption Statement,,adoption-statement,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,https://www.southampton.gov.uk/media/hlnj0mlr/adoption-statement-ccap-cspr-13-03-2015_tcm63-371353.pdf,,southampton_city_centre_action_plan,2023-04-26,,,local-authority-eng:STH
local-plan-policy-maps,Local Plan policy maps,,policies-map,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,https://islesofscilly.maps.arcgis.com/apps/View/index.html?appid=94f4f28abe2246da8c8f3a9f106e2760,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
local-plan-s1-and-2-text---adopted-25th-july-2022,Local Plan S1 and 2 Text - Adopted 25th July 2022,Local Plan S1 and 2 PDF - Adopted 25th July 2022,local-plan,https://www.braintree.gov.uk/directory-record/1062214/local-plan-section-1-2-text-adopted-25th-july-2022,https://www.braintree.gov.uk/downloads/file/3553/local-plan-2033-s1-and-s2-pdf-minus-maps,,braintree-district-local-plan-2033,2023-04-26,,,local-authority-eng:BRA
local-plan-policies-map,Local Plan Policies Map,,policies-map,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,https://liverpool.gov.uk/media/1361295/liverpool-prop-map_lo.pdf,,liverpool-local-plan-2013-2033,2023-04-26,,,local-authority-eng:LIV
local-plan-s2-maps-1-braintree---2-witham-adopted-25th-july-2022,Local Plan S2 Maps 1 Braintree - 2 Witham Adopted 25th July 2022,Local Plan S2 Maps 1 Braintree - 2 Witham Adopted 25th July 2022,policies-map,https://www.braintree.gov.uk/directory-record/1062215/local-plan-s2-maps-1-braintree-2-witham-adopted-25th-july-2022,https://www.braintree.gov.uk/downloads/file/3548/s2-maps-1-braintree-2-witham-adopted,,braintree-district-local-plan-2033,2023-04-26,,,local-authority-eng:BRA
local-plan,Local plan,,local-plan,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan,https://www.bristol.gov.uk/files/documents/64-core-strategy-web-pdf-low-res-with-links,,bristol-city-local-plan-2011,2023-04-26,,,local-authority-eng:BST
inspectors-report,Inspectors report,,inspectors-report,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,https://www.scilly.gov.uk/sites/default/files/planning-apps/ADOPTION%20STATEMENT.pdf,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
report-on-the-examination-of-the-liverpool-local-plan-2013-2033,Report on the Examination of the Liverpool Local Plan 2013-2033,,inspectors-report,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,https://liverpool.gov.uk/media/1361150/liverpool-final-report.pdf,,liverpool-local-plan-2013-2033,2023-04-26,,,government-organisation:EA39
dacorum-borough-local-plan-(1991-2011)-written-statement,DACORUM BOROUGH LOCAL PLAN (1991-2011) WRITTEN STATEMENT,,adoption-statement,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/local-plan-written-statement-adopted-2004.pdf,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/local-plan-written-statement-adopted-2004.pdf,,local-plan-1991-2011,2023-04-26,,,local-authority-eng:DAC
air-quality-spd,Air Quality SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/file/30877/air-quality-supplementary-planning-document-spd-,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
coventry-connected-spd,Coventry Connected SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/file/27653/coventry-connected-spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
health-impact-assessment-spd,Health Impact Assessment SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/file/28900/health-impact-assessment-spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
hot-food-takeaway-spd,Hot Food Takeaway SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/file/30880/hot-food-takeaway-spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
sustainable-urban-extension-spd,Sustainable Urban Extension SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/file/30879/sustainable-urban-extension-design-guidance-spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
strategic-environmental-assessment-adoption-statement,Strategic Environmental Assessment Adoption Statement,,adoption-statement,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,https://liverpool.gov.uk/media/1362000/liverpool-local-plan-sea-adoption-statement.pdf,,liverpool-local-plan-2013-2033,2023-04-26,,,local-authority-eng:LIV
trees-&-developer-guidance-spd,Trees & Developer Guidance SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/download/6484/tree_and_developer_guidelines_spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
affordable-housing-spd,Affordable Housing SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/file/37970/affordable-housing-spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
energy-spd,Energy SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/file/37976/energy-spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
open-space-spd,Open Space SPD,,supplementary-planning-documents,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/2,https://www.coventry.gov.uk/downloads/download/7118/open-space-spd,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
harlow-local-development-plan,Harlow Local Development Plan,,local-plan,https://www.harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,https://www.harlow.gov.uk/sites/default/files/documents/Harlow%20Local%20Development%20Plan.pdf,,Harlow-Local-Development-Plan,2023-04-26,,,local-authority-eng:HAR
core-strategy-partial-review,Core Strategy Partial Review,,local-plan,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/cspr/,https://www.southampton.gov.uk/media/la5jz3fr/core-strategy-partial-review-final-march-2015_tcm63-371357.pdf,,Southampton_Core_Strategy_Partial_Review,2023-04-26,,,local-authority-eng:STH
city-centre-area-action-plan,City centre area action plan,,area-action-plan,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/4,https://www.coventry.gov.uk/downloads/file/25900/final_aap_december_2017,,coventry-city-centre-area-action-plan,2023-04-26,,,local-authority-eng:COV
adoption-statment,Adoption statment,,adoption-statement,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12541.pdf&ver=12559,,arun-local-plan-2018,2023-04-26,,,local-authority-eng:ARU
coventry-adoption-statement,Coventry adoption statement,,adoption-statement,https://www.coventry.gov.uk/downloads/download/4881/adoption_statements,https://www.coventry.gov.uk/downloads/file/25894/sasea-adoption-statement-dec-2017,,coventry-local-plan-2011-2031,2023-04-26,,,local-authority-eng:COV
notice-of-adoption-of-a-development-plan-document-–-core-strategy,Notice of adoption of a Development Plan Document – Core Strategy,"Regulation 26 (Adoption of a local plan) of the Town and County Planning (Local Planning)
(England) Regulations 2012",adoption-statement,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/core-strategy,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/adoption-notice-(pdf).pdf,,core-strategy,2023-04-26,,,local-authority-eng:DAC
